2019-09-08,6.5,16,21,11.5
2019-09-09,0,13.5,14.7,12
2019-09-10,8.333,15.5,20.3,11.5
2019-09-11,10.4,16.3,22.9,8.3
2019-09-12,2.75,17.9,22.7,14.7
2019-09-13,3.183,17.3,23,11.6
2019-09-14,11.15,13.9,19.4,8.2
2019-09-15,9.133,16.8,24.3,9.9
2019-09-16,1.167,14.2,16.3,12.7
2019-09-17,1.867,12.2,15.7,9.1
2019-09-18,6.5,11.7,16.6,7.5
2019-09-19,7.967,11.3,16.7,7.1
2019-09-20,5.867,12.3,17.2,6.9
2019-09-21,11.083,14.4,22.2,7.3
2019-09-22,11.15,16.6,25.1,8
2019-09-23,10.2,16.7,23.3,8.5
2019-09-24,1.167,15.4,18.6,12.8
2019-09-25,0,14.9,17.1,11
2019-09-26,5.817,15.5,20.5,10.1
2019-09-27,0.083,15.1,17.1,12
2019-09-28,4.05,14.3,19.1,11.7
2019-09-29,0.683,14.7,17,12.8
2019-09-30,1.4,14.6,17.4,10.9
2019-10-01,0.067,13.9,17.3,10.7
2019-10-02,3.2,10.4,14,7.3
2019-10-03,0.817,9.6,12.5,7.3
2019-10-04,1.983,8.8,11.6,4.6
2019-10-05,2.067,8.6,11.7,4.4
2019-10-06,7.75,6.5,11.5,2.3
2019-10-07,7.733,6.5,12.5,0.3
2019-10-08,0,10.1,13.2,5.3
2019-10-09,3.467,12.6,16.1,10
2019-10-10,4.7,11.4,15.5,9.6
2019-10-11,0.683,13.1,15.8,9.5
2019-10-12,5.35,16.6,20.2,14.5
2019-10-13,5.233,19.5,24.7,14.7
2019-10-14,9.367,18.6,23,14.9
2019-10-15,9.117,16.1,21.9,11.6
2019-10-16,0,12.1,14.5,10.1
2019-10-17,0.633,14.9,18.1,12.1
2019-10-18,6.133,14.8,19.3,10.2
2019-10-19,0.617,12.4,16.2,9.2
2019-10-20,5.45,15,20.6,11.5
2019-10-21,1.133,14.6,18.5,10
2019-10-22,4.6,12.9,18.4,8.4
2019-10-23,6.15,12.1,17.2,6
2019-10-24,0.183,13.8,16.9,11.5
2019-10-25,5.367,14.5,18.6,11.7
2019-10-26,7.283,14.6,18.2,11.1
2019-10-27,0,11.9,16.8,6.2
2019-10-28,5.85,8.4,12.3,5.5
2019-10-29,3.5,5.3,9.4,1.4
2019-10-30,6.6,3.1,9.2,-1.7
2019-10-31,7.883,2.1,7.2,-3.1
2019-11-01,5.117,3,6.8,-1.9
2019-11-02,0.217,11.3,16.3,6.8
2019-11-03,0,10.9,12.7,7.9
2019-11-04,0.35,10.4,13,8.5
2019-11-05,0.05,9.5,11.4,8.2
2019-11-06,0,8.2,9.2,6.1
2019-11-07,0.85,8.3,11.6,5.9
2019-11-08,0.567,7.3,10.1,2.7
2019-11-09,0,6.9,7.8,4.7
2019-11-10,6.317,5.4,9.7,2.2
2019-11-11,4.167,2.9,7.1,0.4
2019-11-12,0.467,4.4,7.4,0.9
2019-11-13,0,5,6.8,3.5
2019-11-14,6.467,5.4,9,3.4
2019-11-15,0.267,7.2,9.6,3.9
2019-11-16,0,6.3,8.9,2
2019-11-17,0,4.3,8.5,-1
2019-11-18,0,8.1,11.3,4
2019-11-19,3.817,6.5,8.6,4.2
